,Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,강우감지,일사량,외부풍속,지습,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
2829,548,farm29,20190319,27주차,568.1558333,99.9245833,18.2220833,0.0,1825,0.4771429,58.67,15,2.68,4.59,94
2830,548,farm29,20190320,27주차,589.7191667,99.9825,17.9904167,0.0,1958,1.2646667,59.3679167,14,2.67,5.32,90
2831,548,farm29,20190321,27주차,598.985,99.9795833,19.065,0.0,1797,0.32125,60.45375,13,2.66,4.5,100
2832,548,farm29,20190322,27주차,604.87,99.9804167,18.1616667,0.0,1944,0.424,60.0079167,13,2.69,4.89,97
2833,548,farm29,20190323,27주차,596.29875,99.9841667,17.23625,1.0,1909,2.3985714,59.5729167,14,2.68,5.32,97
2834,548,farm29,20190324,27주차,578.3120833,99.9791667,15.8129167,0.0,2153,3.5861905,59.9170833,13,2.64,4.35,98
2835,549,farm29,20190318,27주차,560.28375,99.9454167,15.8408333,0.0,1334,0.4357143,57.7708333,13,2.82,5.61,96
2836,549,farm29,20190319,27주차,568.1558333,99.9245833,18.2220833,0.0,1825,0.4771429,58.67,15,2.68,4.59,94
2837,549,farm29,20190320,27주차,589.7191667,99.9825,17.9904167,0.0,1958,1.2646667,59.3679167,14,2.67,5.32,90
2838,549,farm29,20190321,27주차,598.985,99.9795833,19.065,0.0,1797,0.32125,60.45375,13,2.66,4.5,100
2839,549,farm29,20190322,27주차,604.87,99.9804167,18.1616667,0.0,1944,0.424,60.0079167,13,2.69,4.89,97
2840,549,farm29,20190323,27주차,596.29875,99.9841667,17.23625,1.0,1909,2.3985714,59.5729167,14,2.68,5.32,97
2841,549,farm29,20190324,27주차,578.3120833,99.9791667,15.8129167,0.0,2153,3.5861905,59.9170833,13,2.64,4.35,98
2842,550,farm29,20190318,27주차,560.28375,99.9454167,15.8408333,0.0,1334,0.4357143,57.7708333,13,2.82,5.61,96
2843,550,farm29,20190319,27주차,568.1558333,99.9245833,18.2220833,0.0,1825,0.4771429,58.67,15,2.68,4.59,94
2844,550,farm29,20190320,27주차,589.7191667,99.9825,17.9904167,0.0,1958,1.2646667,59.3679167,14,2.67,5.32,90
2845,550,farm29,20190321,27주차,598.985,99.9795833,19.065,0.0,1797,0.32125,60.45375,13,2.66,4.5,100
2846,550,farm29,20190322,27주차,604.87,99.9804167,18.1616667,0.0,1944,0.424,60.0079167,13,2.69,4.89,97
2847,550,farm29,20190323,27주차,596.29875,99.9841667,17.23625,1.0,1909,2.3985714,59.5729167,14,2.68,5.32,97
2848,550,farm29,20190324,27주차,578.3120833,99.9791667,15.8129167,0.0,2153,3.5861905,59.9170833,13,2.64,4.35,98
2849,551,farm29,20190318,27주차,560.28375,99.9454167,15.8408333,0.0,1334,0.4357143,57.7708333,13,2.82,5.61,96
2850,551,farm29,20190319,27주차,568.1558333,99.9245833,18.2220833,0.0,1825,0.4771429,58.67,15,2.68,4.59,94
2851,551,farm29,20190320,27주차,589.7191667,99.9825,17.9904167,0.0,1958,1.2646667,59.3679167,14,2.67,5.32,90
2852,551,farm29,20190321,27주차,598.985,99.9795833,19.065,0.0,1797,0.32125,60.45375,13,2.66,4.5,100
2853,551,farm29,20190322,27주차,604.87,99.9804167,18.1616667,0.0,1944,0.424,60.0079167,13,2.69,4.89,97
2854,551,farm29,20190323,27주차,596.29875,99.9841667,17.23625,1.0,1909,2.3985714,59.5729167,14,2.68,5.32,97
2855,551,farm29,20190324,27주차,578.3120833,99.9791667,15.8129167,0.0,2153,3.5861905,59.9170833,13,2.64,4.35,98
2856,553,farm29,20190325,28주차,603.5745833,66.4495833,10.8695833,0.0,2155,0.9645833,60.2429167,19,2.24,4.83,82
2857,553,farm29,20190326,28주차,613.38125,66.355,11.6020833,0.0,2231,0.1958333,61.6175,16,2.25,5.32,80
2858,553,farm29,20190327,28주차,591.8391667,66.40125,11.4845833,0.0,2284,0.3654167,61.42375,20,2.17,4.13,80
2859,553,farm29,20190328,28주차,593.3058333,66.4325,12.3720833,0.0,2226,0.0391667,62.1733333,18,2.27,5.24,82
2860,553,farm29,20190329,28주차,609.0645833,66.4104167,12.5154167,0.0,1810,0.2254167,62.3920833,18,2.24,5.43,80
2861,553,farm29,20190330,28주차,590.37125,66.3820833,12.9208333,0.0,2116,0.09875,63.1875,17,2.23,4.94,82
2862,553,farm29,20190331,28주차,623.5766667,66.4220833,11.39625,1.0,575,0.00125,61.49375,20,2.32,5.93,77
2863,554,farm29,20190325,28주차,603.5745833,66.4495833,10.8695833,0.0,2155,0.9645833,60.2429167,19,2.24,4.83,82
2864,554,farm29,20190326,28주차,613.38125,66.355,11.6020833,0.0,2231,0.1958333,61.6175,16,2.25,5.32,80
2865,554,farm29,20190327,28주차,591.8391667,66.40125,11.4845833,0.0,2284,0.3654167,61.42375,20,2.17,4.13,80
2866,554,farm29,20190328,28주차,593.3058333,66.4325,12.3720833,0.0,2226,0.0391667,62.1733333,18,2.27,5.24,82
2867,554,farm29,20190329,28주차,609.0645833,66.4104167,12.5154167,0.0,1810,0.2254167,62.3920833,18,2.24,5.43,80
2868,554,farm29,20190330,28주차,590.37125,66.3820833,12.9208333,0.0,2116,0.09875,63.1875,17,2.23,4.94,82
2869,554,farm29,20190331,28주차,623.5766667,66.4220833,11.39625,1.0,575,0.00125,61.49375,20,2.32,5.93,77
2870,555,farm29,20190325,28주차,603.5745833,66.4495833,10.8695833,0.0,2155,0.9645833,60.2429167,19,2.24,4.83,82
2871,555,farm29,20190326,28주차,613.38125,66.355,11.6020833,0.0,2231,0.1958333,61.6175,16,2.25,5.32,80
2872,555,farm29,20190327,28주차,591.8391667,66.40125,11.4845833,0.0,2284,0.3654167,61.42375,20,2.17,4.13,80
2873,555,farm29,20190328,28주차,593.3058333,66.4325,12.3720833,0.0,2226,0.0391667,62.1733333,18,2.27,5.24,82
2874,555,farm29,20190329,28주차,609.0645833,66.4104167,12.5154167,0.0,1810,0.2254167,62.3920833,18,2.24,5.43,80
2875,555,farm29,20190330,28주차,590.37125,66.3820833,12.9208333,0.0,2116,0.09875,63.1875,17,2.23,4.94,82
2876,555,farm29,20190331,28주차,623.5766667,66.4220833,11.39625,1.0,575,0.00125,61.49375,20,2.32,5.93,77
2877,556,farm29,20190401,29주차,604.7470833,66.2725,12.88875,0.0,2129,0.09125,63.0175,20,2.3,4.66,81
2878,556,farm29,20190402,29주차,589.72625,66.2954167,10.5916667,1.0,690,1.205,59.5954167,19,2.19,5.85,74
2879,556,farm29,20190403,29주차,563.9866667,66.37125,9.8170833,1.0,498,0.2608333,57.81125,16,2.32,5.91,76
2880,556,farm29,20190404,29주차,548.455,66.3716667,10.9083333,0.0,1329,1.116695231190426,60.3766667,13,2.67,5.52,80
2881,556,farm29,20190405,29주차,575.84875,66.36125,12.15125,0.0,2302,0.243,62.7829167,16,2.25,5.31,79
2882,556,farm29,20190406,29주차,584.2875,66.4375,11.6129167,0.0,1730,0.0091667,62.6383333,16,2.17,5.22,80
2883,556,farm29,20190407,29주차,595.54,66.3591667,10.4333333,1.0,650,0.1845833,59.68125,16,2.3,5.85,74
2884,557,farm29,20190401,29주차,604.7470833,66.2725,12.88875,0.0,2129,0.09125,63.0175,20,2.3,4.66,81
2885,557,farm29,20190402,29주차,589.72625,66.2954167,10.5916667,1.0,690,1.205,59.5954167,19,2.19,5.85,74
2886,557,farm29,20190403,29주차,563.9866667,66.37125,9.8170833,1.0,498,0.2608333,57.81125,16,2.32,5.91,76
2887,557,farm29,20190404,29주차,548.455,66.3716667,10.9083333,0.0,1329,1.116695231190426,60.3766667,13,2.67,5.52,80
2888,557,farm29,20190405,29주차,575.84875,66.36125,12.15125,0.0,2302,0.243,62.7829167,16,2.25,5.31,79
2889,557,farm29,20190406,29주차,584.2875,66.4375,11.6129167,0.0,1730,0.0091667,62.6383333,16,2.17,5.22,80
2890,557,farm29,20190407,29주차,595.54,66.3591667,10.4333333,1.0,650,0.1845833,59.68125,16,2.3,5.85,74
2891,558,farm29,20190401,29주차,604.7470833,66.2725,12.88875,0.0,2129,0.09125,63.0175,20,2.3,4.66,81
2892,558,farm29,20190402,29주차,589.72625,66.2954167,10.5916667,1.0,690,1.205,59.5954167,19,2.19,5.85,74
2893,558,farm29,20190403,29주차,563.9866667,66.37125,9.8170833,1.0,498,0.2608333,57.81125,16,2.32,5.91,76
2894,558,farm29,20190404,29주차,548.455,66.3716667,10.9083333,0.0,1329,1.116695231190426,60.3766667,13,2.67,5.52,80
2895,558,farm29,20190405,29주차,575.84875,66.36125,12.15125,0.0,2302,0.243,62.7829167,16,2.25,5.31,79
2896,558,farm29,20190406,29주차,584.2875,66.4375,11.6129167,0.0,1730,0.0091667,62.6383333,16,2.17,5.22,80
2897,558,farm29,20190407,29주차,595.54,66.3591667,10.4333333,1.0,650,0.1845833,59.68125,16,2.3,5.85,74
2898,560,farm29,20190408,30주차,563.1470833,66.3275,11.96125,0.0,2417,0.10875,61.1941667,19,2.31,4.21,79
2899,560,farm29,20190409,30주차,576.0879167,66.3975,12.5229167,0.0,1933,0.00375,63.875,17,2.26,4.97,80
2900,560,farm29,20190410,30주차,578.3954167,66.3583333,13.31875,1.0,2031,0.0070833,65.3845833,18,2.28,4.75,80
2901,560,farm29,20190411,30주차,569.0304167,66.45375,13.0825,0.0,2396,0.0383333,65.6704167,18,2.23,4.21,81
2902,560,farm29,20190412,30주차,589.7533333,66.3845833,12.4020833,0.0,905,0.00125,65.3745833,17,2.3,5.92,73
2903,560,farm29,20190413,30주차,561.0604167,66.4358333,12.6754167,0.0,2327,0.03625,66.6883333,21,2.23,4.39,84
2904,560,farm29,20190414,30주차,570.3504167,66.3533333,13.81125,0.0,1394,0.00125,66.3270833,15,2.7,5.55,85
2905,561,farm29,20190408,30주차,563.1470833,66.3275,11.96125,0.0,2417,0.10875,61.1941667,19,2.31,4.21,79
2906,561,farm29,20190409,30주차,576.0879167,66.3975,12.5229167,0.0,1933,0.00375,63.875,17,2.26,4.97,80
2907,561,farm29,20190410,30주차,578.3954167,66.3583333,13.31875,1.0,2031,0.0070833,65.3845833,18,2.28,4.75,80
2908,561,farm29,20190411,30주차,569.0304167,66.45375,13.0825,0.0,2396,0.0383333,65.6704167,18,2.23,4.21,81
2909,561,farm29,20190412,30주차,589.7533333,66.3845833,12.4020833,0.0,905,0.00125,65.3745833,17,2.3,5.92,73
2910,561,farm29,20190413,30주차,561.0604167,66.4358333,12.6754167,0.0,2327,0.03625,66.6883333,21,2.23,4.39,84
2911,561,farm29,20190414,30주차,570.3504167,66.3533333,13.81125,0.0,1394,0.00125,66.3270833,15,2.7,5.55,85
2912,562,farm29,20190408,30주차,563.1470833,66.3275,11.96125,0.0,2417,0.10875,61.1941667,19,2.31,4.21,79
2913,562,farm29,20190409,30주차,576.0879167,66.3975,12.5229167,0.0,1933,0.00375,63.875,17,2.26,4.97,80
2914,562,farm29,20190410,30주차,578.3954167,66.3583333,13.31875,1.0,2031,0.0070833,65.3845833,18,2.28,4.75,80
2915,562,farm29,20190411,30주차,569.0304167,66.45375,13.0825,0.0,2396,0.0383333,65.6704167,18,2.23,4.21,81
2916,562,farm29,20190412,30주차,589.7533333,66.3845833,12.4020833,0.0,905,0.00125,65.3745833,17,2.3,5.92,73
2917,562,farm29,20190413,30주차,561.0604167,66.4358333,12.6754167,0.0,2327,0.03625,66.6883333,21,2.23,4.39,84
2918,562,farm29,20190414,30주차,570.3504167,66.3533333,13.81125,0.0,1394,0.00125,66.3270833,15,2.7,5.55,85
2919,563,farm29,20190408,30주차,563.1470833,66.3275,11.96125,0.0,2417,0.10875,61.1941667,19,2.31,4.21,79
2920,563,farm29,20190409,30주차,576.0879167,66.3975,12.5229167,0.0,1933,0.00375,63.875,17,2.26,4.97,80
2921,563,farm29,20190410,30주차,578.3954167,66.3583333,13.31875,1.0,2031,0.0070833,65.3845833,18,2.28,4.75,80
2922,563,farm29,20190411,30주차,569.0304167,66.45375,13.0825,0.0,2396,0.0383333,65.6704167,18,2.23,4.21,81
2923,563,farm29,20190412,30주차,589.7533333,66.3845833,12.4020833,0.0,905,0.00125,65.3745833,17,2.3,5.92,73
2924,563,farm29,20190413,30주차,561.0604167,66.4358333,12.6754167,0.0,2327,0.03625,66.6883333,21,2.23,4.39,84
2925,563,farm29,20190414,30주차,570.3504167,66.3533333,13.81125,0.0,1394,0.00125,66.3270833,15,2.7,5.55,85
2926,566,farm16,20170305,16주차,576.7658333,76.35125,18.1245833,0.0,1853,1.473913,30.414950352866246,13,2.7,5.13,91
2927,566,farm16,20170306,16주차,556.72,80.18625,18.1041667,0.0,1643,2.2283333,30.414950352866246,15,2.65,4.84,90
2928,566,farm16,20170307,16주차,575.3225,76.5454167,18.13875,0.0,1978,3.209,30.414950352866246,14,2.68,4.24,98
2929,566,farm16,20170308,16주차,595.1570833,76.0479167,18.16875,0.0,1977,1.7305,30.414950352866246,15,2.65,4.53,93
2930,566,farm16,20170309,16주차,585.9991667,76.7495833,17.8625,0.0,1711,2.5666667,30.414950352866246,15,2.66,5.13,92
2931,566,farm16,20170310,16주차,599.62125,75.5254167,19.0891667,0.0,1978,1.306,30.414950352866246,13,2.64,4.15,88
2932,566,farm16,20170311,16주차,606.8420833,78.99375,17.25625,0.0,1211,1.252381,30.414950352866246,10,2.73,5.34,99
2933,567,farm16,20170305,16주차,576.7658333,76.35125,18.1245833,0.0,1853,1.473913,30.414950352866246,13,2.7,5.13,91
2934,567,farm16,20170306,16주차,556.72,80.18625,18.1041667,0.0,1643,2.2283333,30.414950352866246,15,2.65,4.84,90
2935,567,farm16,20170307,16주차,575.3225,76.5454167,18.13875,0.0,1978,3.209,30.414950352866246,14,2.68,4.24,98
2936,567,farm16,20170308,16주차,595.1570833,76.0479167,18.16875,0.0,1977,1.7305,30.414950352866246,15,2.65,4.53,93
2937,567,farm16,20170309,16주차,585.9991667,76.7495833,17.8625,0.0,1711,2.5666667,30.414950352866246,15,2.66,5.13,92
2938,567,farm16,20170310,16주차,599.62125,75.5254167,19.0891667,0.0,1978,1.306,30.414950352866246,13,2.64,4.15,88
2939,567,farm16,20170311,16주차,606.8420833,78.99375,17.25625,0.0,1211,1.252381,30.414950352866246,10,2.73,5.34,99
2940,568,farm16,20170312,17주차,582.5841667,76.80125,19.4191667,0.0,1923,1.1511765,30.414950352866246,13,2.66,4.68,99
2941,568,farm16,20170313,17주차,598.9329167,89.0816667,14.92,1.0,373,0.9009091,30.414950352866246,9,2.67,5.74,96
2942,568,farm16,20170314,17주차,511.2070833,81.59125,18.31,1.0,1965,3.1870833,30.414950352866246,13,2.66,5.36,92
2943,568,farm16,20170315,17주차,567.49,82.7275,18.1345833,0.0,1449,1.298,30.414950352866246,14,2.75,5.75,101
2944,568,farm16,20170316,17주차,555.4333333,81.4375,18.0095833,0.0,1473,2.148,30.414950352866246,15,2.72,5.63,101
2945,568,farm16,20170317,17주차,546.6179167,87.4475,17.7795833,0.0,1004,1.0345455,30.414950352866246,9,2.69,5.74,95
2946,568,farm16,20170318,17주차,567.86875,92.4,15.17375,1.0,398,0.8535,30.414950352866246,10,2.65,5.68,95
2947,570,farm16,20170312,17주차,582.5841667,76.80125,19.4191667,0.0,1923,1.1511765,30.414950352866246,13,2.66,4.68,99
2948,570,farm16,20170313,17주차,598.9329167,89.0816667,14.92,1.0,373,0.9009091,30.414950352866246,9,2.67,5.74,96
2949,570,farm16,20170314,17주차,511.2070833,81.59125,18.31,1.0,1965,3.1870833,30.414950352866246,13,2.66,5.36,92
2950,570,farm16,20170315,17주차,567.49,82.7275,18.1345833,0.0,1449,1.298,30.414950352866246,14,2.75,5.75,101
2951,570,farm16,20170316,17주차,555.4333333,81.4375,18.0095833,0.0,1473,2.148,30.414950352866246,15,2.72,5.63,101
2952,570,farm16,20170317,17주차,546.6179167,87.4475,17.7795833,0.0,1004,1.0345455,30.414950352866246,9,2.69,5.74,95
2953,570,farm16,20170318,17주차,567.86875,92.4,15.17375,1.0,398,0.8535,30.414950352866246,10,2.65,5.68,95
2954,573,farm16,20170319,18주차,530.2041667,86.28625,16.8083333,1.0,1403,1.8179167,30.414950352866246,13,2.72,5.74,101
2955,573,farm16,20170320,18주차,530.7745833,86.2158333,17.5470833,1.0,1317,2.24,30.414950352866246,11,2.8,5.6,94
2956,573,farm16,20170321,18주차,580.83625,82.6883333,17.2183333,1.0,1519,1.3204545,30.414950352866246,14,2.8,5.72,96
2957,573,farm16,20170322,18주차,624.2004167,91.5141667,14.7266667,1.0,397,1.19375,30.414950352866246,8,2.66,5.62,96
2958,573,farm16,20170323,18주차,591.2566667,77.3329167,18.1066667,1.0,2013,1.2435,30.414950352866246,15,2.67,5.02,97
2959,573,farm16,20170324,18주차,569.18,83.31625,15.9904167,1.0,1033,1.4991304,30.414950352866246,8,2.68,5.64,87
2960,573,farm16,20170325,18주차,577.9554167,76.4420833,15.8883333,1.0,1544,2.8252632,30.414950352866246,21,2.58,6.07,75
2961,574,farm16,20170319,18주차,530.2041667,86.28625,16.8083333,1.0,1403,1.8179167,30.414950352866246,13,2.72,5.74,101
2962,574,farm16,20170320,18주차,530.7745833,86.2158333,17.5470833,1.0,1317,2.24,30.414950352866246,11,2.8,5.6,94
2963,574,farm16,20170321,18주차,580.83625,82.6883333,17.2183333,1.0,1519,1.3204545,30.414950352866246,14,2.8,5.72,96
2964,574,farm16,20170322,18주차,624.2004167,91.5141667,14.7266667,1.0,397,1.19375,30.414950352866246,8,2.66,5.62,96
2965,574,farm16,20170323,18주차,591.2566667,77.3329167,18.1066667,1.0,2013,1.2435,30.414950352866246,15,2.67,5.02,97
2966,574,farm16,20170324,18주차,569.18,83.31625,15.9904167,1.0,1033,1.4991304,30.414950352866246,8,2.68,5.64,87
2967,574,farm16,20170325,18주차,577.9554167,76.4420833,15.8883333,1.0,1544,2.8252632,30.414950352866246,21,2.58,6.07,75
2968,576,farm16,20170423,23주차,5.3008333,6.43125,1.4425,0.0,0,2.3636842,30.414950352866246,20,2.27,6.17,72
2969,576,farm16,20170424,23주차,5.1045833,6.9154167,1.4908333,0.0,0,2.0344444,30.414950352866246,17,2.25,6.01,77
2970,576,farm16,20170425,23주차,4.98375,6.32125,1.4091667,0.0,0,1.6014286,30.414950352866246,17,2.17,6.04,76
2971,576,farm16,20170426,23주차,5.0645833,6.6654167,1.5516667,0.0,0,1.5757895,30.414950352866246,17,2.16,6.17,78
2972,576,farm16,20170427,23주차,5.0625,7.1266667,1.5154167,1.0,0,1.4766667,30.414950352866246,18,2.25,6.14,73
2973,576,farm16,20170428,23주차,5.5075,8.76625,1.5608333,1.0,0,1.3464706,30.414950352866246,21,2.29,6.09,70
2974,576,farm16,20170429,23주차,4.7629167,6.80625,1.38875,0.0,0,2.145,30.414950352866246,19,2.32,6.06,70
2975,577,farm16,20170423,23주차,5.3008333,6.43125,1.4425,0.0,0,2.3636842,30.414950352866246,20,2.27,6.17,72
2976,577,farm16,20170424,23주차,5.1045833,6.9154167,1.4908333,0.0,0,2.0344444,30.414950352866246,17,2.25,6.01,77
2977,577,farm16,20170425,23주차,4.98375,6.32125,1.4091667,0.0,0,1.6014286,30.414950352866246,17,2.17,6.04,76
2978,577,farm16,20170426,23주차,5.0645833,6.6654167,1.5516667,0.0,0,1.5757895,30.414950352866246,17,2.16,6.17,78
2979,577,farm16,20170427,23주차,5.0625,7.1266667,1.5154167,1.0,0,1.4766667,30.414950352866246,18,2.25,6.14,73
2980,577,farm16,20170428,23주차,5.5075,8.76625,1.5608333,1.0,0,1.3464706,30.414950352866246,21,2.29,6.09,70
2981,577,farm16,20170429,23주차,4.7629167,6.80625,1.38875,0.0,0,2.145,30.414950352866246,19,2.32,6.06,70
2982,578,farm16,20170423,23주차,5.3008333,6.43125,1.4425,0.0,0,2.3636842,30.414950352866246,20,2.27,6.17,72
2983,578,farm16,20170424,23주차,5.1045833,6.9154167,1.4908333,0.0,0,2.0344444,30.414950352866246,17,2.25,6.01,77
2984,578,farm16,20170425,23주차,4.98375,6.32125,1.4091667,0.0,0,1.6014286,30.414950352866246,17,2.17,6.04,76
2985,578,farm16,20170426,23주차,5.0645833,6.6654167,1.5516667,0.0,0,1.5757895,30.414950352866246,17,2.16,6.17,78
2986,578,farm16,20170427,23주차,5.0625,7.1266667,1.5154167,1.0,0,1.4766667,30.414950352866246,18,2.25,6.14,73
2987,578,farm16,20170428,23주차,5.5075,8.76625,1.5608333,1.0,0,1.3464706,30.414950352866246,21,2.29,6.09,70
2988,578,farm16,20170429,23주차,4.7629167,6.80625,1.38875,0.0,0,2.145,30.414950352866246,19,2.32,6.06,70
2989,579,farm16,20170423,23주차,5.3008333,6.43125,1.4425,0.0,0,2.3636842,30.414950352866246,20,2.27,6.17,72
2990,579,farm16,20170424,23주차,5.1045833,6.9154167,1.4908333,0.0,0,2.0344444,30.414950352866246,17,2.25,6.01,77
2991,579,farm16,20170425,23주차,4.98375,6.32125,1.4091667,0.0,0,1.6014286,30.414950352866246,17,2.17,6.04,76
2992,579,farm16,20170426,23주차,5.0645833,6.6654167,1.5516667,0.0,0,1.5757895,30.414950352866246,17,2.16,6.17,78
2993,579,farm16,20170427,23주차,5.0625,7.1266667,1.5154167,1.0,0,1.4766667,30.414950352866246,18,2.25,6.14,73
2994,579,farm16,20170428,23주차,5.5075,8.76625,1.5608333,1.0,0,1.3464706,30.414950352866246,21,2.29,6.09,70
2995,579,farm16,20170429,23주차,4.7629167,6.80625,1.38875,0.0,0,2.145,30.414950352866246,19,2.32,6.06,70
2996,580,farm30,20170219,22주차,379.4541667,90.9445833,16.8204167,0.0,1371,1.1158333,30.414950352866246,11,2.96,5.62,69
2997,580,farm30,20170220,22주차,378.4679167,91.5454167,17.1379167,0.0,1575,0.8225,30.414950352866246,10,2.94,5.6,72
2998,580,farm30,20170221,22주차,380.0,90.5520833,17.30375,0.0,1743,1.1670833,30.414950352866246,10,2.96,5.66,76
2999,580,farm30,20170222,22주차,380.0,89.70125,17.3295833,0.0,1392,0.8104167,30.414950352866246,14,2.8,5.75,92
3000,580,farm30,20170223,22주차,379.0104167,90.58375,17.14375,0.0858333,1582,0.92,30.414950352866246,13,2.72,5.7,90
3001,580,farm30,20170224,22주차,380.0,91.8416667,17.0216667,0.07625,1654,1.47375,30.414950352866246,13,2.64,4.89,90
3002,580,farm30,20170225,22주차,380.0,87.9729167,17.0258333,0.0,1700,1.1791667,30.414950352866246,13,2.7,5.25,101
3003,581,farm30,20170219,22주차,379.4541667,90.9445833,16.8204167,0.0,1371,1.1158333,30.414950352866246,11,2.96,5.62,69
3004,581,farm30,20170220,22주차,378.4679167,91.5454167,17.1379167,0.0,1575,0.8225,30.414950352866246,10,2.94,5.6,72
3005,581,farm30,20170221,22주차,380.0,90.5520833,17.30375,0.0,1743,1.1670833,30.414950352866246,10,2.96,5.66,76
3006,581,farm30,20170222,22주차,380.0,89.70125,17.3295833,0.0,1392,0.8104167,30.414950352866246,14,2.8,5.75,92
3007,581,farm30,20170223,22주차,379.0104167,90.58375,17.14375,0.0858333,1582,0.92,30.414950352866246,13,2.72,5.7,90
3008,581,farm30,20170224,22주차,380.0,91.8416667,17.0216667,0.07625,1654,1.47375,30.414950352866246,13,2.64,4.89,90
3009,581,farm30,20170225,22주차,380.0,87.9729167,17.0258333,0.0,1700,1.1791667,30.414950352866246,13,2.7,5.25,101
3010,582,farm30,20170219,22주차,379.4541667,90.9445833,16.8204167,0.0,1371,1.1158333,30.414950352866246,11,2.96,5.62,69
3011,582,farm30,20170220,22주차,378.4679167,91.5454167,17.1379167,0.0,1575,0.8225,30.414950352866246,10,2.94,5.6,72
3012,582,farm30,20170221,22주차,380.0,90.5520833,17.30375,0.0,1743,1.1670833,30.414950352866246,10,2.96,5.66,76
3013,582,farm30,20170222,22주차,380.0,89.70125,17.3295833,0.0,1392,0.8104167,30.414950352866246,14,2.8,5.75,92
3014,582,farm30,20170223,22주차,379.0104167,90.58375,17.14375,0.0858333,1582,0.92,30.414950352866246,13,2.72,5.7,90
3015,582,farm30,20170224,22주차,380.0,91.8416667,17.0216667,0.07625,1654,1.47375,30.414950352866246,13,2.64,4.89,90
3016,582,farm30,20170225,22주차,380.0,87.9729167,17.0258333,0.0,1700,1.1791667,30.414950352866246,13,2.7,5.25,101
3017,583,farm30,20170219,22주차,379.4541667,90.9445833,16.8204167,0.0,1371,1.1158333,30.414950352866246,11,2.96,5.62,69
3018,583,farm30,20170220,22주차,378.4679167,91.5454167,17.1379167,0.0,1575,0.8225,30.414950352866246,10,2.94,5.6,72
3019,583,farm30,20170221,22주차,380.0,90.5520833,17.30375,0.0,1743,1.1670833,30.414950352866246,10,2.96,5.66,76
3020,583,farm30,20170222,22주차,380.0,89.70125,17.3295833,0.0,1392,0.8104167,30.414950352866246,14,2.8,5.75,92
3021,583,farm30,20170223,22주차,379.0104167,90.58375,17.14375,0.0858333,1582,0.92,30.414950352866246,13,2.72,5.7,90
3022,583,farm30,20170224,22주차,380.0,91.8416667,17.0216667,0.07625,1654,1.47375,30.414950352866246,13,2.64,4.89,90
3023,583,farm30,20170225,22주차,380.0,87.9729167,17.0258333,0.0,1700,1.1791667,30.414950352866246,13,2.7,5.25,101
3024,584,farm30,20170226,23주차,380.0,88.1620833,17.405,0.0,1301,1.0441667,30.414950352866246,11,2.77,5.61,91
3025,584,farm30,20170227,23주차,379.4891667,91.8175,17.3091667,0.0,1916,0.6733333,30.414950352866246,14,2.67,5.23,89
3026,584,farm30,20170228,23주차,380.0,87.8895833,17.6475,0.0,1212,2.09,30.414950352866246,11,2.78,5.62,92
3027,584,farm30,20170301,23주차,380.0,89.0375,17.1258333,0.0,1461,1.88375,30.414950352866246,15,2.72,5.71,93
3028,584,farm30,20170302,23주차,378.4679167,88.76375,17.2875,0.0,1724,1.8983333,30.414950352866246,13,2.66,4.32,87
3029,584,farm30,20170303,23주차,380.0,88.70875,17.565,0.0,1758,2.48625,30.414950352866246,14,2.66,4.41,94
3030,584,farm30,20170304,23주차,380.0,88.67125,17.9325,0.0,1682,1.4216667,30.414950352866246,14,2.7,4.3,99
3031,586,farm30,20170226,23주차,380.0,88.1620833,17.405,0.0,1301,1.0441667,30.414950352866246,11,2.77,5.61,91
3032,586,farm30,20170227,23주차,379.4891667,91.8175,17.3091667,0.0,1916,0.6733333,30.414950352866246,14,2.67,5.23,89
3033,586,farm30,20170228,23주차,380.0,87.8895833,17.6475,0.0,1212,2.09,30.414950352866246,11,2.78,5.62,92
3034,586,farm30,20170301,23주차,380.0,89.0375,17.1258333,0.0,1461,1.88375,30.414950352866246,15,2.72,5.71,93
3035,586,farm30,20170302,23주차,378.4679167,88.76375,17.2875,0.0,1724,1.8983333,30.414950352866246,13,2.66,4.32,87
3036,586,farm30,20170303,23주차,380.0,88.70875,17.565,0.0,1758,2.48625,30.414950352866246,14,2.66,4.41,94
3037,586,farm30,20170304,23주차,380.0,88.67125,17.9325,0.0,1682,1.4216667,30.414950352866246,14,2.7,4.3,99
3038,590,farm30,20170305,24주차,380.0,88.6325,17.93,0.0,1724,1.2225,30.414950352866246,13,2.69,4.58,96
3039,590,farm30,20170306,24주차,379.4720833,89.4125,18.2204167,0.0,1584,0.9533333,30.414950352866246,14,2.76,5.61,97
3040,590,farm30,20170307,24주차,379.5054167,91.3045833,18.2470833,0.0,1720,1.4379167,30.414950352866246,15,2.67,4.37,93
3041,590,farm30,20170308,24주차,380.0,89.40625,17.8104167,0.0,1933,1.2816667,30.414950352866246,13,2.7,5.34,95
3042,590,farm30,20170309,24주차,380.0,87.91,18.0116667,0.0,1517,1.4158333,30.414950352866246,15,2.81,5.65,90
3043,590,farm30,20170310,24주차,380.0,90.7075,18.3154167,0.0,1865,1.07,30.414950352866246,14,2.64,4.39,96
