Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,일사량,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
222,farm34,20181012,3,380.0,98.6891667,23.2745833,1641,10,2.31,5.71,88
222,farm34,20181013,3,380.0,98.7016667,22.625,1586,11,2.31,5.84,85
224,farm34,20181008,3,380.0,98.6520833,24.1145833,1515,9,2.28,5.73,91
224,farm34,20181009,3,380.0,98.6354167,21.5266667,605,12,2.75,5.32,68
224,farm34,20181010,3,380.0,98.6033333,22.2016667,1565,10,2.39,5.83,93
224,farm34,20181011,3,380.0,98.5854167,22.23625,1616,11,2.37,5.66,92
224,farm34,20181012,3,380.0,98.6891667,23.2745833,1641,10,2.31,5.71,88
224,farm34,20181013,3,380.0,98.7016667,22.625,1586,11,2.31,5.84,85
224,farm34,20181014,3,380.0,98.6308333,21.7695833,1610,11,2.2,5.89,88
226,farm34,20181008,3,380.0,98.6520833,24.1145833,1515,9,2.28,5.73,91
226,farm34,20181009,3,380.0,98.6354167,21.5266667,605,12,2.75,5.32,68
226,farm34,20181010,3,380.0,98.6033333,22.2016667,1565,10,2.39,5.83,93
226,farm34,20181011,3,380.0,98.5854167,22.23625,1616,11,2.37,5.66,92
226,farm34,20181012,3,380.0,98.6891667,23.2745833,1641,10,2.31,5.71,88
226,farm34,20181013,3,380.0,98.7016667,22.625,1586,11,2.31,5.84,85
226,farm34,20181014,3,380.0,98.6308333,21.7695833,1610,11,2.2,5.89,88
227,farm34,20181008,3,380.0,98.6520833,24.1145833,1515,9,2.28,5.73,91
227,farm34,20181009,3,380.0,98.6354167,21.5266667,605,12,2.75,5.32,68
227,farm34,20181010,3,380.0,98.6033333,22.2016667,1565,10,2.39,5.83,93
227,farm34,20181011,3,380.0,98.5854167,22.23625,1616,11,2.37,5.66,92
227,farm34,20181012,3,380.0,98.6891667,23.2745833,1641,10,2.31,5.71,88
227,farm34,20181013,3,380.0,98.7016667,22.625,1586,11,2.31,5.84,85
227,farm34,20181014,3,380.0,98.6308333,21.7695833,1610,11,2.2,5.89,88
229,farm34,20181015,4,380.0,98.7695833,21.6045833,969,13,2.76,5.4,67
229,farm34,20181016,4,380.0,98.2779167,22.0,920,12,2.74,5.5,69
229,farm34,20181017,4,380.0,98.5066667,21.6495833,1543,8,2.42,5.71,88
229,farm34,20181018,4,380.0,98.5845833,21.34875,1511,9,2.37,5.89,89
229,farm34,20181019,4,380.0,98.835,19.6591667,202,13,2.63,5.32,75
229,farm34,20181020,4,380.0,98.19,20.4783333,1048,12,2.68,5.34,66
229,farm34,20181021,4,380.0,98.545,20.4579167,1292,16,2.48,5.3,67
230,farm34,20181015,4,380.0,98.7695833,21.6045833,969,13,2.76,5.4,67
230,farm34,20181016,4,380.0,98.2779167,22.0,920,12,2.74,5.5,69
230,farm34,20181017,4,380.0,98.5066667,21.6495833,1543,8,2.42,5.71,88
230,farm34,20181018,4,380.0,98.5845833,21.34875,1511,9,2.37,5.89,89
230,farm34,20181019,4,380.0,98.835,19.6591667,202,13,2.63,5.32,75
230,farm34,20181020,4,380.0,98.19,20.4783333,1048,12,2.68,5.34,66
230,farm34,20181021,4,380.0,98.545,20.4579167,1292,16,2.48,5.3,67
233,farm34,20181022,5,380.0,98.285,20.69125,1013,12,2.62,5.46,59
233,farm34,20181023,5,380.0,98.45375,20.1720833,1367,12,2.73,5.78,94
233,farm34,20181024,5,380.0,98.5441667,20.3841667,1094,13,2.65,5.47,69
233,farm34,20181025,5,380.0,98.4241667,20.3445833,1445,14,2.49,6.08,92
233,farm34,20181026,5,380.0,98.4879167,19.8533333,1443,13,2.51,6.02,81
233,farm34,20181027,5,380.0,98.4783333,19.9466667,1270,14,2.5,6.13,89
233,farm34,20181028,5,380.0,98.47,20.18875,1329,15,2.54,6.16,89
234,farm34,20181022,5,380.0,98.285,20.69125,1013,12,2.62,5.46,59
234,farm34,20181023,5,380.0,98.45375,20.1720833,1367,12,2.73,5.78,94
234,farm34,20181024,5,380.0,98.5441667,20.3841667,1094,13,2.65,5.47,69
234,farm34,20181025,5,380.0,98.4241667,20.3445833,1445,14,2.49,6.08,92
234,farm34,20181026,5,380.0,98.4879167,19.8533333,1443,13,2.51,6.02,81
234,farm34,20181027,5,380.0,98.4783333,19.9466667,1270,14,2.5,6.13,89
234,farm34,20181028,5,380.0,98.47,20.18875,1329,15,2.54,6.16,89
235,farm34,20181022,5,380.0,98.285,20.69125,1013,12,2.62,5.46,59
235,farm34,20181023,5,380.0,98.45375,20.1720833,1367,12,2.73,5.78,94
235,farm34,20181024,5,380.0,98.5441667,20.3841667,1094,13,2.65,5.47,69
235,farm34,20181025,5,380.0,98.4241667,20.3445833,1445,14,2.49,6.08,92
235,farm34,20181026,5,380.0,98.4879167,19.8533333,1443,13,2.51,6.02,81
235,farm34,20181027,5,380.0,98.4783333,19.9466667,1270,14,2.5,6.13,89
235,farm34,20181028,5,380.0,98.47,20.18875,1329,15,2.54,6.16,89
236,farm34,20181029,6,380.0,98.5325,20.4716667,1281,13,2.51,6.12,87
236,farm34,20181030,6,379.4541667,98.38125,20.4125,1172,12,2.85,5.53,109
236,farm34,20181031,6,379.4541667,98.5875,20.2341667,407,9,2.74,5.23,132
236,farm34,20181101,6,379.4541667,98.7475,19.1716667,114,9,2.72,5.21,111
236,farm34,20181102,6,380.0,97.9954167,20.1233333,692,9,2.73,4.9,104
236,farm34,20181103,6,380.0,98.3933333,19.8308333,1140,10,2.86,5.51,56
236,farm34,20181104,6,380.0,98.5395833,19.3854167,529,10,2.7,5.38,130
237,farm34,20181029,6,380.0,98.5325,20.4716667,1281,13,2.51,6.12,87
237,farm34,20181030,6,379.4541667,98.38125,20.4125,1172,12,2.85,5.53,109
237,farm34,20181031,6,379.4541667,98.5875,20.2341667,407,9,2.74,5.23,132
237,farm34,20181101,6,379.4541667,98.7475,19.1716667,114,9,2.72,5.21,111
237,farm34,20181102,6,380.0,97.9954167,20.1233333,692,9,2.73,4.9,104
237,farm34,20181103,6,380.0,98.3933333,19.8308333,1140,10,2.86,5.51,56
237,farm34,20181104,6,380.0,98.5395833,19.3854167,529,10,2.7,5.38,130
239,farm34,20181029,6,380.0,98.5325,20.4716667,1281,13,2.51,6.12,87
239,farm34,20181030,6,379.4541667,98.38125,20.4125,1172,12,2.85,5.53,109
239,farm34,20181031,6,379.4541667,98.5875,20.2341667,407,9,2.74,5.23,132
239,farm34,20181101,6,379.4541667,98.7475,19.1716667,114,9,2.72,5.21,111
239,farm34,20181102,6,380.0,97.9954167,20.1233333,692,9,2.73,4.9,104
239,farm34,20181103,6,380.0,98.3933333,19.8308333,1140,10,2.86,5.51,56
239,farm34,20181104,6,380.0,98.5395833,19.3854167,529,10,2.7,5.38,130
240,farm34,20181105,7,380.0,98.3045833,20.0341667,1187,12,2.86,5.53,109
240,farm34,20181106,7,379.8575,98.3941667,19.9475,1114,9,2.88,5.54,64
240,farm34,20181107,7,380.0,98.3258333,19.2125,1181,12,2.84,5.51,127
240,farm34,20181108,7,378.985,98.1395833,18.9641667,1091,10,2.87,5.54,48
240,farm34,20181109,7,380.0,98.8566667,17.5633333,325,9,2.7,5.46,125
240,farm34,20181110,7,380.0,98.1433333,18.92,1265,14,2.54,6.23,88
240,farm34,20181111,7,380.0,98.7033333,16.1795833,370,9,2.74,5.21,130
242,farm34,20181105,7,380.0,98.3045833,20.0341667,1187,12,2.86,5.53,109
242,farm34,20181106,7,379.8575,98.3941667,19.9475,1114,9,2.88,5.54,64
242,farm34,20181107,7,380.0,98.3258333,19.2125,1181,12,2.84,5.51,127
242,farm34,20181108,7,378.985,98.1395833,18.9641667,1091,10,2.87,5.54,48
242,farm34,20181109,7,380.0,98.8566667,17.5633333,325,9,2.7,5.46,125
242,farm34,20181110,7,380.0,98.1433333,18.92,1265,14,2.54,6.23,88
242,farm34,20181111,7,380.0,98.7033333,16.1795833,370,9,2.74,5.21,130
243,farm34,20181105,7,380.0,98.3045833,20.0341667,1187,12,2.86,5.53,109
243,farm34,20181106,7,379.8575,98.3941667,19.9475,1114,9,2.88,5.54,64
243,farm34,20181107,7,380.0,98.3258333,19.2125,1181,12,2.84,5.51,127
243,farm34,20181108,7,378.985,98.1395833,18.9641667,1091,10,2.87,5.54,48
243,farm34,20181109,7,380.0,98.8566667,17.5633333,325,9,2.7,5.46,125
243,farm34,20181110,7,380.0,98.1433333,18.92,1265,14,2.54,6.23,88
243,farm34,20181111,7,380.0,98.7033333,16.1795833,370,9,2.74,5.21,130
245,farm34,20181112,8,380.0,98.1641667,18.03625,1021,5,2.66,5.89,123
245,farm34,20181113,8,380.0,98.3754167,17.7416667,1117,9,2.86,5.53,55
245,farm34,20181114,8,380.0,98.67375,16.1566667,497,9,2.71,5.07,108
245,farm34,20181115,8,380.0,98.1720833,18.6816667,1176,12,2.86,5.53,117
245,farm34,20181116,8,380.0,97.9779167,17.6741667,1021,6,2.67,5.83,125
245,farm34,20181117,8,380.0,97.6725,16.4283333,310,10,2.71,5.2,128
245,farm34,20181118,8,380.0,96.2933333,17.6075,718,9,2.76,5.35,121
246,farm34,20181112,8,380.0,98.1641667,18.03625,1021,5,2.66,5.89,123
246,farm34,20181113,8,380.0,98.3754167,17.7416667,1117,9,2.86,5.53,55
246,farm34,20181114,8,380.0,98.67375,16.1566667,497,9,2.71,5.07,108
246,farm34,20181115,8,380.0,98.1720833,18.6816667,1176,12,2.86,5.53,117
246,farm34,20181116,8,380.0,97.9779167,17.6741667,1021,6,2.67,5.83,125
246,farm34,20181117,8,380.0,97.6725,16.4283333,310,10,2.71,5.2,128
246,farm34,20181118,8,380.0,96.2933333,17.6075,718,9,2.76,5.35,121
248,farm34,20181119,9,380.0,93.07125,18.1820833,958,5,2.57,5.82,120
248,farm34,20181120,9,380.0,92.1829167,18.995,898,9,2.71,5.23,105
248,farm34,20181121,9,380.0,91.8779167,18.4304167,776,9,2.76,5.37,128
248,farm34,20181122,9,380.0,91.68,18.0354167,781,10,2.7,5.21,128
248,farm34,20181123,9,380.0,93.0,18.3429167,936,9,2.79,5.16,126
248,farm34,20181124,9,380.0,96.5733333,17.60125,589,10,2.74,5.28,133
248,farm34,20181125,9,380.0,93.6058333,18.9708333,854,9,2.77,5.38,133
251,farm34,20181119,9,380.0,93.07125,18.1820833,958,5,2.57,5.82,120
251,farm34,20181120,9,380.0,92.1829167,18.995,898,9,2.71,5.23,105
251,farm34,20181121,9,380.0,91.8779167,18.4304167,776,9,2.76,5.37,128
251,farm34,20181122,9,380.0,91.68,18.0354167,781,10,2.7,5.21,128
251,farm34,20181123,9,380.0,93.0,18.3429167,936,9,2.79,5.16,126
251,farm34,20181124,9,380.0,96.5733333,17.60125,589,10,2.74,5.28,133
251,farm34,20181125,9,380.0,93.6058333,18.9708333,854,9,2.77,5.38,133
252,farm34,20181126,10,380.0,98.3725,19.2066667,247,10,2.71,5.1,124
252,farm34,20181127,10,380.0,96.99375,18.94875,359,10,2.79,4.88,114
252,farm34,20181128,10,380.0,92.0416667,18.605,901,9,2.74,5.25,111
252,farm34,20181129,10,380.0,95.24875,16.87875,402,9,2.73,4.99,125
252,farm34,20181130,10,380.0,92.8129167,16.5254167,703,10,2.72,5.26,129
252,farm34,20181201,10,380.0,90.4154167,17.9925,910,9,2.73,5.1,103
252,farm34,20181202,10,379.7220833,90.3733333,17.83375,965,5,2.61,5.86,128
253,farm34,20181126,10,380.0,98.3725,19.2066667,247,10,2.71,5.1,124
253,farm34,20181127,10,380.0,96.99375,18.94875,359,10,2.79,4.88,114
253,farm34,20181128,10,380.0,92.0416667,18.605,901,9,2.74,5.25,111
253,farm34,20181129,10,380.0,95.24875,16.87875,402,9,2.73,4.99,125
253,farm34,20181130,10,380.0,92.8129167,16.5254167,703,10,2.72,5.26,129
253,farm34,20181201,10,380.0,90.4154167,17.9925,910,9,2.73,5.1,103
253,farm34,20181202,10,379.7220833,90.3733333,17.83375,965,5,2.61,5.86,128
254,farm34,20181126,10,380.0,98.3725,19.2066667,247,10,2.71,5.1,124
254,farm34,20181127,10,380.0,96.99375,18.94875,359,10,2.79,4.88,114
254,farm34,20181128,10,380.0,92.0416667,18.605,901,9,2.74,5.25,111
254,farm34,20181129,10,380.0,95.24875,16.87875,402,9,2.73,4.99,125
254,farm34,20181130,10,380.0,92.8129167,16.5254167,703,10,2.72,5.26,129
254,farm34,20181201,10,380.0,90.4154167,17.9925,910,9,2.73,5.1,103
254,farm34,20181202,10,379.7220833,90.3733333,17.83375,965,5,2.61,5.86,128
255,farm34,20181126,10,380.0,98.3725,19.2066667,247,10,2.71,5.1,124
255,farm34,20181127,10,380.0,96.99375,18.94875,359,10,2.79,4.88,114
255,farm34,20181128,10,380.0,92.0416667,18.605,901,9,2.74,5.25,111
255,farm34,20181129,10,380.0,95.24875,16.87875,402,9,2.73,4.99,125
255,farm34,20181130,10,380.0,92.8129167,16.5254167,703,10,2.72,5.26,129
255,farm34,20181201,10,380.0,90.4154167,17.9925,910,9,2.73,5.1,103
255,farm34,20181202,10,379.7220833,90.3733333,17.83375,965,5,2.61,5.86,128
257,farm34,20181203,11,380.0,89.2133333,17.6979167,911,10,2.78,5.34,102
257,farm34,20181204,11,379.4391667,92.22625,16.1675,205,9,2.73,5.04,112
257,farm34,20181205,11,379.4441667,89.5408333,17.35875,915,10,2.76,5.44,118
257,farm34,20181206,11,379.3116667,89.4,17.1479167,625,9,2.77,5.08,101
257,farm34,20181207,11,380.0,89.585,17.6041667,985,6,2.6,5.8,101
257,farm34,20181208,11,380.0,89.2229167,17.2195833,984,5,2.59,5.92,124
257,farm34,20181209,11,380.0,92.6108333,15.5908333,395,9,2.72,4.93,128
260,farm34,20181210,12,380.0,91.4375,16.7095833,691,10,2.76,4.95,109
260,farm34,20181211,12,380.0,90.3079167,17.23,794,10,2.79,5.18,127
260,farm34,20181212,12,380.0,92.08875,17.58625,671,10,2.78,5.0,105
260,farm34,20181213,12,380.0,95.2195833,15.8233333,357,10,2.75,5.22,131
260,farm34,20181214,12,379.4279167,92.65625,17.5191667,599,9,2.74,5.47,119
260,farm34,20181215,12,380.0,92.05875,17.83875,740,9,2.72,4.9,109
260,farm34,20181216,12,380.0,92.4491667,17.5579167,1000,6,2.6,5.96,131
262,farm34,20181210,12,380.0,91.4375,16.7095833,691,10,2.76,4.95,109
262,farm34,20181211,12,380.0,90.3079167,17.23,794,10,2.79,5.18,127
262,farm34,20181212,12,380.0,92.08875,17.58625,671,10,2.78,5.0,105
262,farm34,20181213,12,380.0,95.2195833,15.8233333,357,10,2.75,5.22,131
262,farm34,20181214,12,379.4279167,92.65625,17.5191667,599,9,2.74,5.47,119
262,farm34,20181215,12,380.0,92.05875,17.83875,740,9,2.72,4.9,109
262,farm34,20181216,12,380.0,92.4491667,17.5579167,1000,6,2.6,5.96,131
263,farm34,20181210,12,380.0,91.4375,16.7095833,691,10,2.76,4.95,109
263,farm34,20181211,12,380.0,90.3079167,17.23,794,10,2.79,5.18,127
263,farm34,20181212,12,380.0,92.08875,17.58625,671,10,2.78,5.0,105
263,farm34,20181213,12,380.0,95.2195833,15.8233333,357,10,2.75,5.22,131
263,farm34,20181214,12,379.4279167,92.65625,17.5191667,599,9,2.74,5.47,119
263,farm34,20181215,12,380.0,92.05875,17.83875,740,9,2.72,4.9,109
263,farm34,20181216,12,380.0,92.4491667,17.5579167,1000,6,2.6,5.96,131
265,farm31,20210131,7,542.3065812,61.9063024,11.262174,1123,8,2.76,5.12,124
265,farm31,20210201,7,466.0754167,55.485,9.97625,1376,7,2.76,5.12,117
265,farm31,20210202,7,499.7459005,57.3900547,11.5422959,1413,8,2.75,5.41,124
265,farm31,20210203,7,534.6869626,62.487994,11.038316,1259,8,2.73,4.86,128
265,farm31,20210204,7,526.7434243,61.3587086,10.9022308,1014,9,2.74,5.46,102
265,farm31,20210205,7,612.5969506,61.914598,11.2169377,1207,8,2.79,5.23,137
265,farm31,20210206,7,594.4944473,55.285848,11.5850798,1379,8,2.74,5.01,116
266,farm31,20210131,7,542.3065812,61.9063024,11.262174,1123,8,2.76,5.12,124
266,farm31,20210201,7,466.0754167,55.485,9.97625,1376,7,2.76,5.12,117
266,farm31,20210202,7,499.7459005,57.3900547,11.5422959,1413,8,2.75,5.41,124
266,farm31,20210203,7,534.6869626,62.487994,11.038316,1259,8,2.73,4.86,128
266,farm31,20210204,7,526.7434243,61.3587086,10.9022308,1014,9,2.74,5.46,102
266,farm31,20210205,7,612.5969506,61.914598,11.2169377,1207,8,2.79,5.23,137
266,farm31,20210206,7,594.4944473,55.285848,11.5850798,1379,8,2.74,5.01,116
271,farm31,20210208,8,571.0280745,62.20663,12.3514373,1164,8,2.79,4.9,133
271,farm31,20210209,8,448.9082803,57.9563029,11.6221119,1319,7,2.79,5.39,106
271,farm31,20210210,8,438.8916102,59.6651769,9.5491667,1465,7,2.77,5.47,108
271,farm31,20210211,8,450.3588884,58.8124668,10.9934536,1487,7,2.77,5.09,140
271,farm31,20210212,8,495.0166388,58.7591765,11.2918618,1533,8,2.72,4.88,118
271,farm31,20210213,8,557.8435186,55.8057727,11.0895902,1358,9,2.79,5.06,134
271,farm31,20210214,8,546.9191667,54.6587081,12.4601132,1448,7,2.8,5.4,122
272,farm31,20210215,9,503.6201064,51.7993407,11.9233849,1398,8,2.73,5.23,117
272,farm31,20210216,9,498.0355491,58.2059525,11.7451548,1433,7,2.79,5.33,138
272,farm31,20210220,9,537.0491667,63.1145833,9.4916667,288,8,2.49,5.15,83
272,farm31,20210221,9,534.1020833,58.7533333,10.8604167,1079,9,2.72,5.36,129
273,farm31,20210215,9,503.6201064,51.7993407,11.9233849,1398,8,2.73,5.23,117
273,farm31,20210216,9,498.0355491,58.2059525,11.7451548,1433,7,2.79,5.33,138
273,farm31,20210220,9,537.0491667,63.1145833,9.4916667,288,8,2.49,5.15,83
273,farm31,20210221,9,534.1020833,58.7533333,10.8604167,1079,9,2.72,5.36,129
274,farm31,20210215,9,503.6201064,51.7993407,11.9233849,1398,8,2.73,5.23,117
274,farm31,20210216,9,498.0355491,58.2059525,11.7451548,1433,7,2.79,5.33,138
274,farm31,20210220,9,537.0491667,63.1145833,9.4916667,288,8,2.49,5.15,83
274,farm31,20210221,9,534.1020833,58.7533333,10.8604167,1079,9,2.72,5.36,129
276,farm31,20210222,10,725.9629167,64.17,9.6083333,156,20,2.27,5.81,72
276,farm31,20210223,10,476.6773272,61.73375,10.2766066,510,16,2.29,5.87,75
276,farm31,20210224,10,448.5433333,56.2966667,10.2058333,1454,12,2.78,5.55,93
276,farm31,20210225,10,523.9154167,59.57875,10.4683333,895,20,2.31,5.84,75
276,farm31,20210226,10,590.08,56.3404167,11.26625,1398,15,2.64,5.56,82
276,farm31,20210227,10,609.0169229,66.2939873,10.07674,493,16,2.18,5.82,76
276,farm31,20210228,10,493.2429109,64.4354841,11.6474988,844,18,2.18,5.96,71
278,farm31,20210222,10,725.9629167,64.17,9.6083333,156,20,2.27,5.81,72
278,farm31,20210223,10,476.6773272,61.73375,10.2766066,510,16,2.29,5.87,75
278,farm31,20210224,10,448.5433333,56.2966667,10.2058333,1454,12,2.78,5.55,93
278,farm31,20210225,10,523.9154167,59.57875,10.4683333,895,20,2.31,5.84,75
278,farm31,20210226,10,590.08,56.3404167,11.26625,1398,15,2.64,5.56,82
278,farm31,20210227,10,609.0169229,66.2939873,10.07674,493,16,2.18,5.82,76
278,farm31,20210228,10,493.2429109,64.4354841,11.6474988,844,18,2.18,5.96,71
279,farm31,20210222,10,725.9629167,64.17,9.6083333,156,20,2.27,5.81,72
279,farm31,20210223,10,476.6773272,61.73375,10.2766066,510,16,2.29,5.87,75
279,farm31,20210224,10,448.5433333,56.2966667,10.2058333,1454,12,2.78,5.55,93
279,farm31,20210225,10,523.9154167,59.57875,10.4683333,895,20,2.31,5.84,75
279,farm31,20210226,10,590.08,56.3404167,11.26625,1398,15,2.64,5.56,82
279,farm31,20210227,10,609.0169229,66.2939873,10.07674,493,16,2.18,5.82,76
279,farm31,20210228,10,493.2429109,64.4354841,11.6474988,844,18,2.18,5.96,71
280,farm31,20210301,11,508.9848544,61.015197,11.7464774,1624,17,2.63,6.0,71
280,farm31,20210302,11,530.6272326,56.5327438,12.0615211,1332,15,2.7,5.5,83
280,farm31,20210303,11,501.2634558,63.1963139,12.0790589,1387,14,2.65,5.56,80
280,farm31,20210304,11,544.1193066,58.6654975,12.1272498,1572,16,2.64,6.1,74
280,farm31,20210305,11,756.02625,68.0008833,9.8008741,185,19,2.26,5.89,70
280,farm31,20210306,11,492.902026,55.8875,12.0905649,1505,21,2.62,6.17,77
280,farm31,20210307,11,521.0941358,55.0199346,11.9750057,1718,16,2.26,4.26,82
281,farm31,20210301,11,508.9848544,61.015197,11.7464774,1624,17,2.63,6.0,71
281,farm31,20210302,11,530.6272326,56.5327438,12.0615211,1332,15,2.7,5.5,83
281,farm31,20210303,11,501.2634558,63.1963139,12.0790589,1387,14,2.65,5.56,80
281,farm31,20210304,11,544.1193066,58.6654975,12.1272498,1572,16,2.64,6.1,74
281,farm31,20210305,11,756.02625,68.0008833,9.8008741,185,19,2.26,5.89,70
281,farm31,20210306,11,492.902026,55.8875,12.0905649,1505,21,2.62,6.17,77
281,farm31,20210307,11,521.0941358,55.0199346,11.9750057,1718,16,2.26,4.26,82
282,farm31,20210301,11,508.9848544,61.015197,11.7464774,1624,17,2.63,6.0,71
282,farm31,20210302,11,530.6272326,56.5327438,12.0615211,1332,15,2.7,5.5,83
282,farm31,20210303,11,501.2634558,63.1963139,12.0790589,1387,14,2.65,5.56,80
282,farm31,20210304,11,544.1193066,58.6654975,12.1272498,1572,16,2.64,6.1,74
282,farm31,20210305,11,756.02625,68.0008833,9.8008741,185,19,2.26,5.89,70
282,farm31,20210306,11,492.902026,55.8875,12.0905649,1505,21,2.62,6.17,77
282,farm31,20210307,11,521.0941358,55.0199346,11.9750057,1718,16,2.26,4.26,82
283,farm31,20210301,11,508.9848544,61.015197,11.7464774,1624,17,2.63,6.0,71
283,farm31,20210302,11,530.6272326,56.5327438,12.0615211,1332,15,2.7,5.5,83
283,farm31,20210303,11,501.2634558,63.1963139,12.0790589,1387,14,2.65,5.56,80
283,farm31,20210304,11,544.1193066,58.6654975,12.1272498,1572,16,2.64,6.1,74
283,farm31,20210305,11,756.02625,68.0008833,9.8008741,185,19,2.26,5.89,70
283,farm31,20210306,11,492.902026,55.8875,12.0905649,1505,21,2.62,6.17,77
283,farm31,20210307,11,521.0941358,55.0199346,11.9750057,1718,16,2.26,4.26,82
284,farm31,20210308,12,560.3058333,53.9141815,11.5770833,1640,20,2.27,4.18,85
284,farm31,20210309,12,517.7462682,55.3131522,13.7114175,1790,20,2.18,4.36,82
284,farm31,20210312,12,595.6825922,61.4185756,12.2273294,930,17,2.28,5.81,75
284,farm31,20210313,12,632.1113013,63.0629167,11.354764,366,17,2.23,5.98,73
284,farm31,20210314,12,509.7546094,58.5641674,11.4640399,1507,16,2.63,6.19,73
285,farm31,20210308,12,560.3058333,53.9141815,11.5770833,1640,20,2.27,4.18,85
285,farm31,20210309,12,517.7462682,55.3131522,13.7114175,1790,20,2.18,4.36,82
285,farm31,20210312,12,595.6825922,61.4185756,12.2273294,930,17,2.28,5.81,75
285,farm31,20210313,12,632.1113013,63.0629167,11.354764,366,17,2.23,5.98,73
285,farm31,20210314,12,509.7546094,58.5641674,11.4640399,1507,16,2.63,6.19,73
286,farm31,20210308,12,560.3058333,53.9141815,11.5770833,1640,20,2.27,4.18,85
286,farm31,20210309,12,517.7462682,55.3131522,13.7114175,1790,20,2.18,4.36,82
286,farm31,20210312,12,595.6825922,61.4185756,12.2273294,930,17,2.28,5.81,75
286,farm31,20210313,12,632.1113013,63.0629167,11.354764,366,17,2.23,5.98,73
286,farm31,20210314,12,509.7546094,58.5641674,11.4640399,1507,16,2.63,6.19,73
288,farm31,20210315,13,455.3443343,54.1872359,11.07875,2071,19,2.32,4.8,81
288,farm31,20210316,13,502.2618897,55.0546702,13.9213104,1983,20,2.18,5.16,80
288,farm31,20210317,13,553.2266667,54.9537472,11.8046882,1356,13,2.66,5.53,85
288,farm31,20210318,13,543.015,48.6708281,13.132362,2047,17,2.21,5.13,79
288,farm31,20210319,13,552.0580677,49.2833602,12.1158333,1932,20,2.2,4.54,80
288,farm31,20210320,13,552.1485489,59.4195833,11.4135538,732,17,2.31,5.94,70
288,farm31,20210321,13,531.6871103,54.1021266,12.5966667,1569,20,2.58,6.06,73
291,farm31,20210315,13,455.3443343,54.1872359,11.07875,2071,19,2.32,4.8,81
291,farm31,20210316,13,502.2618897,55.0546702,13.9213104,1983,20,2.18,5.16,80
291,farm31,20210317,13,553.2266667,54.9537472,11.8046882,1356,13,2.66,5.53,85
291,farm31,20210318,13,543.015,48.6708281,13.132362,2047,17,2.21,5.13,79
291,farm31,20210319,13,552.0580677,49.2833602,12.1158333,1932,20,2.2,4.54,80
291,farm31,20210320,13,552.1485489,59.4195833,11.4135538,732,17,2.31,5.94,70
291,farm31,20210321,13,531.6871103,54.1021266,12.5966667,1569,20,2.58,6.06,73
292,farm31,20210322,14,529.8908382,51.6876865,12.4511747,1718,18,2.17,5.29,79
292,farm31,20210323,14,566.6091667,49.645,12.7991574,1994,20,2.29,4.48,81
292,farm31,20210324,14,566.1487733,53.9062044,12.2237618,2017,21,2.27,5.42,83
292,farm31,20210325,14,538.3507607,60.7077326,12.3108641,1554,17,2.57,6.02,71
292,farm31,20210326,14,475.3578263,63.0367453,13.479128,960,20,2.31,5.9,76
292,farm31,20210327,14,618.5338313,63.695713,12.7790434,615,20,2.25,5.89,77
292,farm31,20210328,14,667.4646998,66.0973988,10.9439155,367,20,2.26,5.88,77
293,farm31,20210322,14,529.8908382,51.6876865,12.4511747,1718,18,2.17,5.29,79
293,farm31,20210323,14,566.6091667,49.645,12.7991574,1994,20,2.29,4.48,81
293,farm31,20210324,14,566.1487733,53.9062044,12.2237618,2017,21,2.27,5.42,83
293,farm31,20210325,14,538.3507607,60.7077326,12.3108641,1554,17,2.57,6.02,71
293,farm31,20210326,14,475.3578263,63.0367453,13.479128,960,20,2.31,5.9,76
293,farm31,20210327,14,618.5338313,63.695713,12.7790434,615,20,2.25,5.89,77
293,farm31,20210328,14,667.4646998,66.0973988,10.9439155,367,20,2.26,5.88,77
294,farm31,20210322,14,529.8908382,51.6876865,12.4511747,1718,18,2.17,5.29,79
294,farm31,20210323,14,566.6091667,49.645,12.7991574,1994,20,2.29,4.48,81
294,farm31,20210324,14,566.1487733,53.9062044,12.2237618,2017,21,2.27,5.42,83
294,farm31,20210325,14,538.3507607,60.7077326,12.3108641,1554,17,2.57,6.02,71
294,farm31,20210326,14,475.3578263,63.0367453,13.479128,960,20,2.31,5.9,76
294,farm31,20210327,14,618.5338313,63.695713,12.7790434,615,20,2.25,5.89,77
294,farm31,20210328,14,667.4646998,66.0973988,10.9439155,367,20,2.26,5.88,77
295,farm31,20210322,14,529.8908382,51.6876865,12.4511747,1718,18,2.17,5.29,79
295,farm31,20210323,14,566.6091667,49.645,12.7991574,1994,20,2.29,4.48,81
295,farm31,20210324,14,566.1487733,53.9062044,12.2237618,2017,21,2.27,5.42,83
295,farm31,20210325,14,538.3507607,60.7077326,12.3108641,1554,17,2.57,6.02,71
295,farm31,20210326,14,475.3578263,63.0367453,13.479128,960,20,2.31,5.9,76
295,farm31,20210327,14,618.5338313,63.695713,12.7790434,615,20,2.25,5.89,77
295,farm31,20210328,14,667.4646998,66.0973988,10.9439155,367,20,2.26,5.88,77
296,farm31,20210329,15,536.8913226,58.8034806,11.9561426,2189,17,2.22,4.44,85
296,farm31,20210330,15,525.8041667,47.18125,11.80125,1948,21,2.27,4.58,79
